                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.67864,                 1.0623,                 1.0261,                0.68431,                0.52089,                0.61942,                0.52239,                0.65061,                 1.3214,                0.98625,               0.006634,               0.006634,               0.006634
                     37,                0.67422,                 1.0433,                 1.0199,                0.66866,                0.56337,                0.64401,                0.54445,                0.65163,                 1.2654,                0.98484,               0.006535,               0.006535,               0.006535
                     38,                0.66308,                  1.012,                 1.0178,                0.70419,                0.55984,                0.64793,                0.55573,                0.62425,                 1.2611,                0.97909,               0.006436,               0.006436,               0.006436
                     39,                0.65863,                0.99176,                  1.014,                0.68122,                0.56255,                0.65238,                0.55317,                0.62668,                 1.2416,                0.97411,               0.006337,               0.006337,               0.006337
                     40,                0.66243,                0.97195,                 1.0146,                0.70034,                0.56132,                0.65116,                0.55461,                0.65285,                 1.2896,                0.98353,               0.006238,               0.006238,               0.006238
                     41,                0.65338,                0.96558,                 1.0111,                0.73717,                0.55729,                0.66114,                0.56172,                0.64322,                 1.2458,                0.98266,               0.006139,               0.006139,               0.006139
                     42,                0.64054,                0.94188,                 1.0046,                0.65149,                0.57261,                0.64023,                0.54977,                0.62742,                 1.2516,                0.97386,                0.00604,                0.00604,                0.00604
                     43,                0.64219,                 0.9304,                 1.0082,                0.67841,                0.59264,                 0.6602,                0.56358,                0.61746,                 1.1735,                0.96895,               0.005941,               0.005941,               0.005941
                     44,                0.64435,                0.92067,                 1.0083,                 0.7369,                0.57062,                0.67478,                0.57834,                0.60491,                 1.1891,                0.96114,               0.005842,               0.005842,               0.005842
                     45,                0.63294,                0.90653,                 1.0034,                0.70951,                0.60306,                0.67679,                0.58174,                0.59958,                 1.1549,                0.96329,               0.005743,               0.005743,               0.005743
                     46,                0.63361,                0.88031,                0.99916,                0.71406,                0.60882,                0.68899,                0.58992,                 0.6083,                 1.1397,                0.96512,               0.005644,               0.005644,               0.005644
                     47,                0.62013,                0.86569,                0.99429,                0.74642,                0.58749,                0.69191,                0.59202,                 0.6162,                 1.1153,                0.96348,               0.005545,               0.005545,               0.005545
                     48,                0.62221,                0.84469,                0.99513,                0.71859,                0.59965,                0.68792,                0.59151,                0.59435,                 1.1368,                0.96226,               0.005446,               0.005446,               0.005446
                     49,                0.61675,                0.83998,                0.98707,                 0.7522,                0.58093,                0.68532,                0.58985,                0.59006,                 1.1186,                0.95561,               0.005347,               0.005347,               0.005347
                     50,                0.60665,                0.82699,                0.98825,                0.73376,                0.59665,                0.69725,                0.60366,                0.60094,                 1.1077,                0.95407,               0.005248,               0.005248,               0.005248
                     51,                0.61552,                 0.8187,                0.98909,                0.75538,                0.60165,                0.70781,                0.61291,                0.58431,                 1.1061,                0.95307,               0.005149,               0.005149,               0.005149
                     52,                 0.5988,                0.79993,                0.98719,                0.74745,                0.61619,                0.71087,                0.61261,                0.58401,                 1.1197,                0.95417,                0.00505,                0.00505,                0.00505
                     53,                0.59819,                0.79538,                0.98469,                0.72787,                0.61172,                0.70328,                0.60844,                0.57704,                  1.086,                0.95152,               0.004951,               0.004951,               0.004951
                     54,                 0.6087,                0.79761,                0.98774,                0.74475,                  0.616,                0.71934,                0.62021,                0.57966,                 1.0546,                0.95189,               0.004852,               0.004852,               0.004852
                     55,                0.58971,                0.76359,                0.97872,                0.74792,                 0.6278,                0.71064,                 0.6148,                 0.5765,                 1.1204,                0.95114,               0.004753,               0.004753,               0.004753
                     56,                0.59127,                0.77076,                0.97798,                0.72767,                0.64207,                0.71523,                0.61974,                0.57574,                 1.0525,                 0.9537,               0.004654,               0.004654,               0.004654
                     57,                0.58436,                0.75779,                0.97492,                0.71895,                0.63347,                0.71604,                0.62231,                0.57123,                 1.0912,                0.94796,               0.004555,               0.004555,               0.004555
                     58,                  0.579,                0.73115,                0.97134,                   0.73,                0.63408,                0.72402,                0.62739,                0.56802,                 1.0728,                0.94367,               0.004456,               0.004456,               0.004456
                     59,                0.57219,                 0.7222,                 0.9704,                0.76196,                0.61795,                0.72602,                0.63075,                0.56902,                  1.024,                0.94832,               0.004357,               0.004357,               0.004357
                     60,                0.56615,                0.71695,                0.96917,                0.76407,                0.63171,                0.72926,                0.63291,                0.56701,                 1.0558,                0.94479,               0.004258,               0.004258,               0.004258
                     61,                0.57263,                0.71463,                0.96941,                0.79281,                0.60829,                0.72515,                0.63235,                0.56923,                 1.0374,                0.94792,               0.004159,               0.004159,               0.004159
                     62,                0.56766,                0.69333,                0.96587,                0.80368,                0.63711,                0.73293,                0.63759,                0.56606,                 1.0132,                0.94731,                0.00406,                0.00406,                0.00406
                     63,                0.55808,                0.68761,                  0.965,                0.77788,                0.62737,                0.72949,                0.63678,                0.56631,                 1.0231,                0.94923,               0.003961,               0.003961,               0.003961
